Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
StudentFormTestSuite,Chrome 144.0.0.0,,,20-02-2026 16:17:08,20-02-2026 16:19:50,"2m - 42,544s",PASSED
,,,,,,,
Test Cases/TC001,Chrome 144.0.0.0,Submit Student Registration Form with Valid Data,,20-02-2026 16:17:08,20-02-2026 16:17:34,"25,457s",PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 144.0.0.0,,,20-02-2026 16:17:09,20-02-2026 16:17:09,"0,014s",PASSED
"openBrowser("""")",Chrome 144.0.0.0,,,20-02-2026 16:17:09,20-02-2026 16:17:11,"2,447s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 144.0.0.0,,,20-02-2026 16:17:11,20-02-2026 16:17:13,"2,037s",PASSED
maximizeWindow(),Chrome 144.0.0.0,,,20-02-2026 16:17:13,20-02-2026 16:17:14,"0,181s",PASSED
waitForPageLoad(10),Chrome 144.0.0.0,,,20-02-2026 16:17:14,20-02-2026 16:17:14,"0,506s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/card_elements""), 5)",Chrome 144.0.0.0,,,20-02-2026 16:17:14,20-02-2026 16:17:14,"0,390s",PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/card_elements""))))",Chrome 144.0.0.0,,,20-02-2026 16:17:14,20-02-2026 16:17:15,"0,435s",PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/menu_forms""))))",Chrome 144.0.0.0,,,20-02-2026 16:17:15,20-02-2026 16:17:15,"0,235s",PASSED
delay(1),Chrome 144.0.0.0,,,20-02-2026 16:17:15,20-02-2026 16:17:16,"1,087s",PASSED
"executeJavaScript(""arguments[0].click();"", Arrays.asList(findWebElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/menu_practiceForm""))))",Chrome 144.0.0.0,,,20-02-2026 16:17:16,20-02-2026 16:17:16,"0,125s",PASSED
waitForPageLoad(5),Chrome 144.0.0.0,,,20-02-2026 16:17:16,20-02-2026 16:17:16,"0,033s",PASSED
"scrollToElement(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/label_Male_custom-control-label""), 1)",Chrome 144.0.0.0,,,20-02-2026 16:17:16,20-02-2026 16:17:17,"0,117s",PASSED
"setText(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_Name_firstName""), FirstName)",Chrome 144.0.0.0,,,20-02-2026 16:17:17,20-02-2026 16:17:17,"0,378s",PASSED
"setText(findTestObject(""Object Repository/Take Home Test/Page_DEMOQA/input_Name_lastName""), LastName)",Chrome 144.0.0.0,,,20-02-2026 16:17:17,20-02-2026 16:17:17,"0,310s",PASSED
